object;type;choice_en;choice_fr;choice_de;choice_es;choice_nl;choice_cz
DTinformations;DTinfo_col_names;Scientific name;Nom scientifique;Wissenschaftlicher Name;Nombre científico;Wetenschappelijke naam;Vědecký název
DTinformations;DTinfo_col_legislative;Legislation;Législation;Gesetzgebung;Legislación;Wetgeving;Legislativa
DTinformations;DTinfo_col_information;Information;Information;Information;Información;Informatie;Informace
Site_box;Site_box_title;Your site;Votre emplacement;Ihr Standort;Tu ubicación;Jouw locatie;Vaše stanoviště
Objective_box;Objective_box_title;Your Objectives;Vos objectifs;Ihre Ziele;Sus objetivos;Uw doelstellingen;Vaše cíle
Compere!;Compare_trees_button;Compare Trees;Comparer les Arbres;Bäume vergleichen;Comparar Árboles;Bomen vergelijken;Porovnat stromy
Graph;Graph_legend;Main Criteria;Critères Principaux;Hauptkriterien;Criterios Principales;Belangrijkste Criteria;Hlavní Kritéria
Graph;Graph_label;Adaptation;Adaptation;Anpassung;Adaptación;Aanpassing;Adaptace
Graph;Graph_label;Efficiency;Efficacité;Effizienz;Eficiencia;Efficiëntie;Efektivita
Graph;Graph_y_label;Species;Species;Spezies;Especies;Soorten;Druh
DFinfo_headline;Scientific_name;scientific name;nom scientifique;Wissenschaftlicher Name;nombre científico;wetenschappelijke naam;vědecký název
DFinfo_headline;legislation;legislation;législation;Gesetzgebung;legislación;wetgeving;legislativa
DFinfo_headline;information;information;information;Information;información;informatie;informace
DFinfo_headline;wood;wood;bois;Holz;madera;hout;dřevo
DFinfo_headline;food;food;nourriture;Lebensmittel;comida;voedsel;jídlo
DFinfo_headline;Usage;Usage;Utilisation en AFS;Verwendung in AFS;Uso en AFS;Gebruik in AFS;Použití v agrolesnictví
Help_info;Close_button;Close;Fermer;Schließen;Cerrar;Sluiten;Zavřít
Help_info;Main_header;Detailed information about filters;Informations détaillées sur les filtres;Detaillierte Informationen zu den Filtern;Información detallada sobre los filtros;Gedetailleerde informatie over de filters;Podrobné informace o filtrech
Help_info;Info_button;Information;Information;Information;Información;Informatie;Informace
DFinfo_content;beekeeping (honey bee);beekeeping (honey bee);apiculture (abeille domestique);Imkerei (Honigbiene);apicultura (abeja doméstica);bijenteelt (honingbij);včelařství (včela medonosná)
DFinfo_content;"Main production coniferous forest tree for a wide range of shade and crops, usually tolerates drier habitats, rocky, dry soils.";"Main production coniferous forest tree for a wide range of shade and crops, usually tolerates drier habitats, rocky, dry soils.";"Arbre forestier conifère de production principale pour une large gamme d'ombre et de cultures, tolère généralement les habitats plus secs, les sols rocheux et secs.";"Hauptproduktions-Nadelbaum für eine Vielzahl von Schatten und Kulturen, toleriert normalerweise trockenere Lebensräume, felsige, trockene Böden.";"Principal árbol forestal de producción de coníferas para una amplia gama de sombra y cultivos, generalmente tolera hábitats más secos, suelos rocosos y secos.";"Belangrijkste productie naaldboom voor een breed scala aan schaduw en gewassen, verdraagt meestal drogere habitats, rotsachtige, droge bodems.";"Hlavní produkční jehličnatý lesní strom pro širokou škálu stínů a plodin, obvykle snáší suché habitaty, kamenité i suché půdy."
DFinfo_content;"Supplementary production fast-growing tree species for conventional (assortments) and coppice cultivation (wood chips, firewood, short pieces of wood), animal feeding.";"Supplementary production fast-growing tree species for conventional (assortments) and coppice cultivation (wood chips, firewood, short pieces of wood), animal feeding.";"Espèces d'arbres à croissance rapide pour la production supplémentaire pour la culture conventionnelle (assortiments) et la culture de taillis (copeaux de bois, bois de chauffage, morceaux de bois), l'alimentation animale.";"Schnellwachsende Baumarten für die zusätzliche Produktion für konventionelle (Sortimente) und Niederwaldkultur (Holzschnitzel, Brennholz, kurze Holzstücke), Tierfütterung.";"Especies de árboles de crecimiento rápido para la producción adicional para la cultura convencional (asortimentos) y la cultura de rebrote (astillas de madera, leña, trozos de madera), alimentación animal.";"Snelgroeiende boomsoorten voor aanvullende productie voor conventionele (assortimenten) en hakhoutteelt (houtsnippers, brandhout, korte houtstukken), dierenvoeding.";"Rychle rostoucí druhy stromů pro dodatečnou produkci pro konvenční sortimenty a kultivaci nízkého lesa (dřevěné štěpky, palivové dřevo, krátké kusy dřeva), krmení zvířat."
