ID	Name	Lateinischer.Name	Kategorie	Verwendung	Ökologie	Mykorrhiza	Bemerkung	Empfohlene.Sorte	Befruchtung.(bspw..mehrere.Sorten)	Pflanzabstand.und.Position.in.der.Hecke	Bemerkungen	Height	Width	Comments	Blütezeit	Erntezeit	Boden	soil.wetness_dry	soil.wetness_well-drained	soil.wetness_fresh	soil.wetness_moist	soil.wetness_wet	waterlogging	soil.structure_light	soil.structure_medium	soil.structure_heavy	soil.structure_compacted	soil.texture_sandy	soil.texture_loamy	soil.texture_clayey	soil.depth_deep	soil.depth_superficial	soil.richness_nutrient-poor	soil.richness_medium.nutrient.content	soil.richness_nutrient-rich	humus	stony	calcareous	soil.acidity_alkaline	soil.acidity_slightly.alkaline	soil.acidity_slightly.acidic	soil.acidity_acidic	pH	Standortanspruch	climate.change	orientation	orientation.when.young	cold.winter	spring.frost	waterlogging	drought	heavy.soil	hot.summer	shallow.soil
1	Feldahorn	Acer campestre	Biomassenutzung	Biodiversität / Bodenschutz; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Fördert Nützlinge, lässt sich gut aus Samen heranzüchten.					(6)-(12)	(4)-(8)	Höhe, Breite	(4)-(5)		Keine Staunässe, kalkhaltig						-															+						Sonne bis lichten Schatten		sunny								
2	Feldahorn	Acer campestre	Vitiforst Umrandung	Biodiversität / Bodenschutz; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel	AM, EM	Fördert Nützlinge, lässt sich gut aus Samen heranzüchten					(6)-(12)	(4)-(8)	Höhe, Breite	(4)-(5)		Keine Staunässe, kalkhaltig						-															+						Sonne bis lichten Schatten		sunny								
3	Feldahorn 	Acer campestre	Stock-/Biomassehecke	Biodiversität / Bodenschutz; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Fördert Nützlinge, lässt sich gut aus Samen heranzüchten					(6)-(12)	(4)-(8)	Höhe, Breite	(4)-(5)		Keine Staunässe, kalkhaltig						-															+						Sonne bis lichten Schatten		sunny								
4	Franzoesischer Ahorn	Acer monospessularnum	Vitiforst Umrandung	Biodiversität / Bodenschutz; Biomasse / Energie	Lebensraum Insekten	AM, EM	Jungpflanzen weniger wüchsig als Feldahorn					(3)-(10)	(3)-(4)	Höhe, Breite	(3)-(4)		Durchlässig, kalkhaltig		+																			+						Sonnig bis halbschattig		sunny; semi-shaded								
5	Schneeballblaetriger Ahorn	Acer opalus	Vitiforst Umrandung	Biodiversität / Bodenschutz	Biodiversität / Bodenschutz; Lebensraum Insekten	AM, EM						(5)-(10)	(3)-(4)	Höhe, Breite	(4)-NA		Durchlässig, kalkhaltig, alkalisch		+																			+	+					Sonnig bis halbschattig 		sunny; semi-shaded								
6	Spitzahorn	Acer platanoides	Alley-Cropping	Holz / Möbel / Instrumente	Lebensraum Vögel; Lebensraum Kleinsäuger		Häufig zur Bodenstabilisierung angepflanzt. Zählt zu den Edellaubhölzern. Auch Pfähle, Brennholz. Trachtpflanze, gut zersetzbares Laub.							Bis 30 m, schnellwüchsig. Tiefgehendes, kompaktes Wurzelwerk. Krone dicht und breit. Früher Blattaustrieb, Blatt gut abbaubar, bodenverbessernd.			Toleriert grosses Bodenspektrum. Bevorzugt tiefgründige, mässig frisch bis frische, N-reiche und nährstoffhaltige Böden. Erfordert weniger Wasser als A. pseudoplatanus. Gute Kalktoleranz. Keine Staunässe. Keine sandige Böden. pH: 5.5 – 8 			+			-					-			+				+			+					(5.5)–(8.5)	Potentielles Klimawandelgehölz. Geringe Kälte und Spätfrostgefährdung. Recht gute Trockenheitstoleranz. Hohe Lichtansprüche, wärmebedürftig. 	yes	sunny		1	1		1		1	
7	Bergahorn	Acer pseudoplatanus	Alley-Cropping	Holz / Möbel / Instrumente	Lebensraum Vögel; Lebensraum Kleinsäuger		Pionierbaumart zur Bodenverbesserung, Holz für Pfähle, Trachtpflanze. Edellaubholz. Zweige kaum schnittverträglich, Laub wird jedoch gerne von Schafen und Ziegen gefressen. Für Pferde jedoch sehr stark giftig****.					(30)-(40)		, anfangs schnellwüchsig. Flaches-mässig tiefes Wurzelsystem. Krone dicht und breit. Früher Blattaustrieb, Laub gut abbaubar, bodenverbessernd.			Humoslehmig bis stark lehmig, sehr frisch, kalkhaltig, keine Staunässe. Keine sandige Böden. pH: 6 – 8 			+			-					-	+							+							(6)–(8)	Geringe Kälte und Spätfrostgefährdung, sehr frosthart, Verträgt jedoch Hitze, längere Trockenheit oder Staunässe wenig 				2	2	-100	-100		-100	
8	Schwarzerle	Alnus glutinosa	Stock-/Biomassehecke	Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Auf vernässten Böden möglich. Stickstofffixierend					(20)-(30)		hoch. Schnellwüchsig. Herzwurzler	(2)-(4)		Feucht bis nass. Ansonsten anspruchslos, auf Moorböden, sandigen, kiesigen, lehmigen oder tonigen Böden. Mittlerer Nährstoffbedarf. pH: 4.5 – 7.5				+	+						+	+	+				+									(4.5)–(7.5)	Hs., In der Jugendzeit lichtbedürftig. 		semi-shaded	sunny							
9	Schwarzerle	Alnus glutinosa	Alley-Cropping	Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Auf vernässten Böden möglich, stickstofffixierend					(20)-(30)		. Schnellwüchsig, Herzwurzler.			Feucht bis nass. Ansonsten anspruchslos, auf Moorböden, sandigen, kiesigen, lehmigen oder tonigen Böden. Mittlerer Nährstoffbedarf. pH: 4.5 – 7.5				+	+						+	+	+				+									(4.5)–(7.5)	In der Jugendzeit lichtbedürftig, feuchte Standorte, gewässerbegleitend			sunny			1	-100			
10	Schwarzerle	Alnus glutinosa	Biomassenutzung	Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Auf vernässten Böden möglich. Stickstofffixierend.					(20)-(30)		hoch. Schnellwüchsig. Herzwurzler	(2)-(4)		Feucht bis nass. Ansonsten anspruchslos, auf Moorböden, sandigen, kiesigen, lehmigen oder tonigen Böden. Mittlerer Nährstoffbedarf. pH: 4.5 – 7.5				+	+						+	+	+				+									(4.5)–(7.5)	Hs. In der Jugendzeit lichtbedürftig. 		semi-shaded	sunny							
11	Purpurerle	Alnus x spaethii	Alley-Cropping	Biodiversität / Bodenschutz			Symbiose mit Strahlenbakterien, stickstofffixierend. Gut schnittverträglich, Nutzung in der Möbelindustrie. schneller wachsend als Schwarzerle (Alnus glutinosa)					(15)-(25)		 , schnellwachsend, 			Verträgt auch verdichtete Böden, sehr tolerant auf viele Bedingungen										+																	Robust und hitzetolerant									1	
12	Kupferfelsenbirne	Amelanchier lamarckii	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl; Holz / Möbel / Instrumente	Lebensraum Insekten; Lebensraum Vögel			Prince William, Ballerina	Selbstfruchtbar	2.5 m, O	Nordamerikanisch.  				(4)-(5)	(7)-(8)	Feucht, sauer, mittlerer Nährstoffgehalt. Wächst auf staunassen Böden, verträgt Trockenheit schlecht; pH: 3.5 – 6.5	-			+		+											+								+	(3.5)–(6.5)	s, hs		sunny; semi-shaded								
13	Gemeine Felsenbirne / Felsenmispel	Amelanchier ovalis	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel				Selbstfruchtbar	1.5 m	Süsslicher Geschmack				(4)-(5)	(8)-NA	Eher trocken, sandig, sandig-lehmig, lehmig, nährstoffarm. pH: 5.5 – 8.5	+										+	+				+										(5.5)–(8.5)	s		sunny								
14	Felsenbirne	Amelanchier Ovalis	Vitiforst in der Parzelle	Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel	AM	Früchte nutzbar					(1)-(4)		Aufrecht, Höhe	(4)-(5)	(8)-NA	Durchlässig, leicht sandig, schwach sauer, nährstoffarm		+									+					+								+			Sonnig bis halbschattig		sunny; semi-shaded								
15	Apfelbeere / Aronia	Aronia melanocarpa	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel				Selbstfruchtbar	1.5 - 2 m	Bildet mit der Zeit durch ihre kurze Ausläufe kleine Dickichte.				(5)-(6)	(8)-(10)	Anspruchslos. Bevorzugt eher feuchte Standorte, steinig-karger Untergrund jedoch ebenfalls möglich. Verträgt keine Staunässe und keine reinen Lehmböden. pH: 5.8 – 6.5	-											--								+						(5.8)–(6.5)	s, hs		sunny; semi-shaded								
16	Apfelbeere / Aronia	Aronia prunifolia	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel				Selbstfruchtbar	1.5 - 2 m	Bildet mit der Zeit durch ihre kurze Ausläufe kleine Dickichte.				(5)-(6)	(8)-(10)	Anspruchslos. Bevorzugt eher feuchte Standorte, steinig-karger Untergrund jedoch ebenfalls möglich. Verträgt keine Staunässe und keine reinen Lehmböden. pH: 5.8 – 6.5	-											--								+						(5.8)–(6.5)	s, hs		sunny; semi-shaded								
17	Gewoehnliche Berberitze 	Berberis vulgaris	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei; Saft / Likör / öl; Holz / Möbel / Instrumente	Lebensraum Insekten; Lebensraum Vögel			kernlose Sorten (Iran)	einhäusig; Fremdbestäubung	1 m, O	Zwischenwirt des Getreiderosts. Regelmässiger Schnitt empfehlenswert, dorntragend, bildet viele Schösslinge				(5)-(6)	(9)-(10)	kalkliebend, wächst auf nährstoffarmen, mässig trockene Böden. pH: 5.5 – 8.5	+															+					+					(5.5)–(8.5)	s, hs		sunny; semi-shaded								
18	Haengebirke	Betula pendula	Alley-Cropping				Bodensanierer. Holz gut bearbeitbar (bspw. Küchenmöbelbau).Besonders wertvolle Masserung hat die Karelische Maserbirke (Betula pendula var. Carelica)							Rasches Jugendwachstum, später konkurrenzschwach. Kann sich fast nur in offenen Beständen behaupten. Rasche Blattzersetzung. Stockausschlagfähig. 			Gut belüftete, nährstoffreiche und tiefgründige Lehmböden bevorzugt, erträgt aber auch sehr nährstoffarme, sehr trockene oder frische Böden. Keine Tonböden. pH: 3 - 8	+	+	+				+					+	-	+		+	+	++								(3)–(8)	Potentielles Klimawandelgehölz. Anspruchslos. Hohe Frostresistenz, empfindlich auf lange sommerliche Trockenperioden und rasche Veränderungen im Wasserhaushalt	yes				2		-100			
19	Gemeine Hainbuche	Carpinus betulus	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger		Hartes Holz, gut hobel-, schleif- und biegbar. Wirtspflanze für Trüffel. Oft in Windschutzhecken angebaut. Wurde früher aufgrund der sehr guten Schnittverträglichkeit und Stockausschlagfähigkeit als Weideeinzäunung („Hagebuche“) genutzt							25 m hoch. Langsames Jugendwachstum. Herzwurzler, rasche Blattzersetzung, bodenverbessernd. Hohe Stockausschlagfähigkeit, Wurzelbrut möglich. 	(4)-(5)		Frische Lehm- und Tonböden bevorzugt, gut an sehr trockene Standorte angepasst. Mittlerer Nährstoffgehalt, gute Kalktoleranz. pH: 4.5 – 7.5 (widersprüchliche Angaben)			+									+	+				+				+					(4.5)–(7.5) 	Potentielles Klimawandelgehölz, hohe Trockenheits- und Sturmresistenz. Halbschattige Standorte, idealerweise sommerwarme Lagen. 	yes	semi-shaded					2		2	
