Scientific_name                                              ;Czech_name                                   ;abbreviation ;fruit ;forage ;forest ;ornamental ;approval ;endengeredG ;endengeredU ;endengeredY ;height    ;habitus             ;growthspeed     ;coppice       ;Subsidy_anex2 ;Subsidy_anex1 ;No_subsidy ;Earliness of leaf emergence III-V (flowering date) ;climateclass ;altitude     ;soil_fertility_acidic ;soil_fertility_normal ;soil_fertility_rich ;soil_fertility_nitrogen ;soil_fertility_calcium ;soil_fertility_peat ;soil_water_waterlogged ;soil_water_normal ;soil_water_arid ;light_demanding ;light_normal ;light_undemanding ;wood                                                                                            ;food                                                                                                                           ;Usage                                                                                                                                                                                                                                                                                                              ;floweringdate ;earlinessleafing
Pinus sylvestris L.                                          ;borovice lesní                               ;BO           ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(40) ;large tree          ;fast            ;unsuitable    ;            1 ;            0 ;         0 ;conifer (5)                                        ;(1)-(8)      ;(150)-(1000) ;                    3 ;                    3 ;                  3 ;                        ;2                      ;                    ;                     2 ;                3 ;              2 ;              3 ;           2 ;                0 ;Widely used for furniture, tiles, decking, decoration, and pine resin                           ;                                                                                                                               ;Main production coniferous forest tree for a wide range of shade and crops, usually tolerates drier habitats, rocky, dry soils.                                                                                                                                                                                    ;5             ;conifer
Prunus persica (L.) Batsch (Persica vulgaris Mill.)          ;broskvoň obecná                              ;BRO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(5)-(8)   ;small tree          ;slow            ;unsuitable    ;            1 ;            0 ;         0 ;medium (3)                                         ;(0)-(5)      ;(150)-(450)  ;                    0 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                2 ;              0 ;              0 ;           2 ;                0 ;                                                                                                ;Edible, tasty fruits                                                                                                           ;Productive fruit tree (peaches, bee forage, smoke wood) suitable for a wide range of sites for both silvopasture and silvo-plough ALS, depending on the variety.                                                                                                                                                   ;3             ;medium
Betula pendula Roth                                          ;bříza bělokorá                               ;BRB          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(29)-(30) ;medium tree         ;fast            ;suitable      ;            0 ;            0 ;         1 ;early (2/3)                                        ;(1)-(9)      ;(150)-(1050) ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     1 ;                3 ;              2 ;              3 ;           2 ;                0 ;Firewood and furniture wood                                                                     ;Bark used for wine                                                                                                             ;Productive rather short-statured forest tree (firewood, furniture and tools) for a wide range of habitats, exceptionally can also be grown for coppicing.                                                                                                                                                          ;2,5           ;early
Fagus sylvatica L.                                           ;buk lesní                                    ;BKL          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(3)-(9)      ;(200)-(1000) ;                    2 ;                    3 ;                  2 ;                        ;2                      ;                    ;                     0 ;                2 ;              0 ;              2 ;           2 ;                3 ;Versatile applications                                                                          ;Beeches - used for feeding and oil production                                                                                  ;Main production forest tree of upland to montane areas suitable for silvopastoral ALS (boxwoods). However, it requires protection against biting and rather moderate shading (of other trees) when young, can also be grown in coppice.                                                                            ;5             ;medium
Quercus frainetto Ten.                                       ;dub balkánský                                ;DBB          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;VRAI        ;FAUX        ;(20)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(3)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                0 ;Versatile applications                                                                          ;Fruit used as forage                                                                                                           ;Production forest tree for our warmer regions, with the progression of climate change it can be expected to expand its application to other regions.                                                                                                                                                               ;4             ;medium
Quercus cerris L.                                            ;dub cer                                      ;DBC          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(20)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;early (3/4)                                        ;(0)-(3)      ;(150)-(500)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              3 ;              2 ;           2 ;                0 ;Versatile applications                                                                          ;Fruit used as forage                                                                                                           ;Important production forest tree for our warmer regions, with climate change it can be expected to expand its application to other regions.                                                                                                                                                                        ;3,5           ;early
Quercus virgiliana (Ten.) Ten.                               ;dub jadranský                                ;DBJ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;VRAI        ;FAUX        ;(19)-(20) ;shrub to tree       ;slow            ;very suitable ;            1 ;            0 ;         0 ;late (5/6)                                         ;(0)-(3)      ;(150)-(300)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              3 ;           1 ;                0 ;Used as fuel                                                                                    ;Fruit used as forage                                                                                                           ;Functional, complementary tree species for warm and arid habitats on rich soils.                                                                                                                                                                                                                                   ;5,5           ;late
Quercus robur L.                                             ;dub letní                                    ;DBL          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (5)                                         ;(0)-(8)      ;(150)-(800)  ;                    0 ;                    3 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              2 ;              3 ;           2 ;                0 ;Versatile applications                                                                          ;Medicinal bark, fruits used for fodder                                                                                         ;Main production forest tree from lowlands to uplands suitable for silvopasture ALS (acorns), but also for silvopasture systems. However, it requires good protection against biting when young, can also be grown in coppice.                                                                                      ;5             ;medium
Quercus polycarpa Schur                                      ;dub mnohoplodý                               ;DBM          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(29)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;late (6)                                           ;(0)-(5)      ;(150)-(500)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                0 ;Versatile applications                                                                          ;Fruit used as forage                                                                                                           ;Production forest tree of lower elevations to uplands suitable for silvopastoral ALS (acorns), but also for silvo-ornamental systems. However, it requires good protection against biting when young, can also be grown in coppice.                                                                                ;6             ;late
Quercus pubescens Willd.                                     ;dub pýřitý                                   ;DBP          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;VRAI        ;(7)-(15)  ;shrub to tree       ;slow            ;very suitable ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(3)      ;(150)-(400)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              3 ;           1 ;                0 ;Used as fuel                                                                                    ;Fruit used as forage                                                                                                           ;Functional, complementary tree species for warm and arid habitats on rich soils.                                                                                                                                                                                                                                   ;4             ;medium
