Wissenschaftlicher.Artname	Deutscher.Artname	Gattung	X3	Familienzugehörigkeit	Giftigkeit	Herkunft	Frosthärte.x	Holzwert	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Habitus	Höhe..m	Breite..m	X6	Wurzelsystem	Frosthärte.y	Lebensbereich.der.Gehölze	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Feldhecken.und.Feldgehölzen.	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Gehölze.an.Fließgewässer.und.in.Auen.	Bodenreaktion	Substrat	Bodenfeuchte	Besonnung	Fruchtbesatz..Monate	Fruchtschmuck	Fruchtfarbe.oder..Form	zur.Lärmminderung	zur.Staubminderung	zur.Pflanzung.von	Blütezeit..Monat	Blütefarbe	Herbstfärbung	Lichtzahl	Kontinentalitätszahl	Feuchtezahl	Reaktionszahl	Stickstoffzahl	Temperaturzahl
Acer campestre	Feld-Ahorn	Ahorne (Acer)	Acer campestre	Seifenbaumgewächse (Sapindaceae)	NA	einheimisch	-24	1;5	Spaltfrucht	lockerkronig;breitkronig	(10)-(15)	(5)-(7)		Herzwurzler	Frosthart	6	1;2;3;5;9;10;11;12;13;15;16;17;21;22;23	4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	8;9;10;11	1	flügelartig	0	0	Lärmschutzwellen	5	gelbgrün	gelb	5	4	5	7	6	6
Acer negundo	Eschen-Ahorn	Ahorne (Acer)	Acer negundo	Seifenbaumgewächse (Sapindaceae)	giftig	Nordamerika	-32	1;3;5	Spaltfrucht	lockerkronig;breitkronig	(15)-(20)	(5)-(7)		Flachwurzler	Frosthart	2	NA	NA	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig	9;10;11;12;1;2	1	flügelartig	1	0		3;4	gelb	gelb	5	6	6	7	7	6
Acer platanoides	Spitz-Ahorn	Ahorne (Acer)	Acer platanoides	Seifenbaumgewächse (Sapindaceae)	NA	einheimisch	-32	1;4;5	Spaltfrucht	lockerkronig;breitkronig	(20)-(30)	(10)-(15)		Flachwurzler;Herzwurzler	Frosthart	3	8;11;12;15;16;17;19;21	2;3;4;5	alkalisch	leicht (sandig);schwer (tonig);humos	feucht bis frisch	sonnig	8;9;10;11	1	flügelartig	0	1		4	gelbgrün	gelb;orange	4	4				6
Acer pseudoplatanus	Berg-Ahorn	Ahorne (Acer)	Acer pseudoplatanus	Seifenbaumgewächse (Sapindaceae)	giftig	einheimisch	-24	1	Spaltfrucht	breitkronig	(20)-(30)	(10)-(15)		Herzwurzler;Tiefwurzler	Frosthart	7	5;6;7;8;12;17;19;20	2;3;4;5	alkalisch	leicht (sandig)	feucht bis frisch	sonnig	8;9;10;11;12	1	rot-braun	2	1		5;6	gelbgrün	gelb	4	4	6		7	
Aesculus hippocastanum	Rosskastanie	Rosskastanien (Aesculus)	Aesculus hippocastanum	seifenbaumgewächse (Sapindaceae)	leicht giftig	einheimisch	-28	3;4	Kapselfrucht	breitkronig	()-(25)	(15)-(20)		Flachwurzler	Frosthart	-	NA	NA	-	schwer (tonig);humos	feucht bis frisch	sonnig	9;10	1	stachelig	0	0		5;6	weiß	gelb						
Alnus glutinosa	Schwarz-Erle	Erlen (Alnus)	Alnus glutinosa	Birkengewächse (Betulaceae)	NA	einheimisch	-28	1;2;3;4	Zapfen	aufrecht	(10)-(20)	(8)-(12)		Flachwurzler	Frosthart	1	5;6;7;8;12;17;19;20	1;2;3;4;5	-	leicht (sandig)	feucht bis frisch	sonnig	7;8;9	1	zapfenförmig	0	2		2;3	braun	NA	5	3	9	6		5
Alnus incana	Grau-Erle	Erlen (Alnus)	Alnus incana	birkengewächse (Betulaceae)	NA	einheimisch	-36	5	Zapfen	aufrecht	(6)-(10)	(4)-(8)		Flachwurzler	Frosthart	2	NA	1;3	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9	1	zapfenförmig	1	2		3	gelb	NA	6	5	7	8		4
Amelanchier lamarckii	Kupfer-Felsenbirne	Felsenbirnen (Amelanchier)	Amelanchier lamarckii	Rosengewächse (Rosaceae)	NA	Nordamerika		NA	Apfelfrucht	breitbuschig	(4)-(6)	(6)-(7)	s	Flachwurzler	Frosthart	3;9	NA	NA	alkalisch	leicht (sandig);schwer (tonig);humos	feucht bis frisch	sonnig;halbschattig	7;8	1	blauschwarz	1	0	Lärmschutzwellen	4;5	weiß	gelb;rot;orange	6	2	5	3	3	6
Betula pendula	Sand-Birke	Birken (Betula)	Betula pendula	Birkengewächse (Betulaceae)	NA	einheimisch	-40	1;3;4	Flügelnuß	breitkronig;aufrecht	(18)-(25)	(7)-(12)		Flachwurzler	Frosthart	4	4;5;6;7;8;10;11;12;13;14;15;16;17;18	4;5	sauer	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	NA	0	NA	0	1		3;4	grüngelb	gelb	7					
Betula pubescens	Moor-Birke	Birken (Betula)	Betula pubescens	birkengewächse (Betulaceae)	NA	einheimisch	-36	3;4	Nussfrucht	breitkronig	(10)-(20)	(8)-(12)		Flachwurzler;Herzwurzler	Frosthart	1	4;6;7;8;10;16;17	NA	sauer	leicht (sandig);durchlässig	feucht bis frisch;trocken	sonnig	NA	0	NA	0	0		4;5	gelb	gelb	7		8	3	3	
