English.name	Scientific.name	sheet	choice	cellcontent	value
Maple - Field maple	Acer campestre L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Maple - Norway maple	Acer platanoides	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Maple - Common maple	Acer pseudoplatanus L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Chestnut - Horse chestnut	Aesculus hippocastanum	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Alder - Common alder	Alnus glutinosa (L.) Gaertn.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Alder - Grey alder	Alnus incana	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Alder - Italian alder	Alnus cordata	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Birch - Silver birch	Betula pendula Roth.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Birch - Downy birch	Betula pubescens Ehrh.	1a_Soilcharacteristics	(Heavy).clay	"""+ (FE)"""	6
White, Pignut, and Bitternut Hickory, among others	Carya alba, glabra en cordiformisen andere spp.	1a_Soilcharacteristics	(Heavy).clay	"""+- MCNUT) + (wijs)"""	5
European hornbeam	Carpinus betulus L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Chestnut - Sweet chestnut	Castanea sativa	1a_Soilcharacteristics	(Heavy).clay	"""- (FE)"""	2
Atlas cedar	Cedrus atlantica (Endl.) Carr	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Cornelian cherry	Cornus mas L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
Dogwood	Cornus sanguinea  L.	1a_Soilcharacteristics	(Heavy).clay	"""- (wijs)"""	2
Common hazel	Corylus avellana L.	1a_Soilcharacteristics	(Heavy).clay	"""- (wijs)"""	2
Turkish hazel	Corylus colurna	1a_Soilcharacteristics	(Heavy).clay	"""- (wijs)"""	2
Hawthorn	Crataegus monogyna, Crataegus laevigata	1a_Soilcharacteristics	(Heavy).clay	"""(+) (wijs)"""	7
Quince	Cydonia oblonga	1a_Soilcharacteristics	(Heavy).clay	"""++ (MCFG), - (wijs)"""	4.5
European spindle	Euonymus europaeus L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
European beech	Fagus sylvatica L.	1a_Soilcharacteristics	(Heavy).clay	"""- (wijs)"""	2
European ash	Fraxinus excelsior L.	1a_Soilcharacteristics	(Heavy).clay	"""+ (wijs)"""	6
