Country	Region	Crop	precipitation	altitude	Tree_latin	locallyAdapted	food	erosionControl	pestControl	biodiversity	diseaseControl	microclimate	improvedCoffeeProductivity	improvedCoffeeLongevity	pruning	fallingBranches	nutrients	fuelwood	fodder	protecfromcold	fruit	growth	Income	improvedCoffeeQuality	mulch	improvedCocoaLongevity	lowCompetition	improvedMacaboProduction	medicinal	protectfromhail	windbreak	protectfromheat	otherproducts	shade	for workers	soilMoisture	soilFertility	timber	weedControl
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Guazuma ulmifolia	3.84	1.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.03	NA	NA	NA	2.4	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25	NA	NA	NA	0.33	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Byrsonima crassifolia	1.19	2.8	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA	1.52	NA	NA	NA	1.74	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28	NA	0.5	0.12	0.14	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Persea americana	0.46	4.05	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	2.03	NA	NA	NA	2.19	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.42	NA	1.52	2.27	0.34	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Inga densiflora	3.25	2.42	NA	NA	NA	NA	NA	NA	NA	1.79	NA	NA	4.17	NA	NA	NA	2.58	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.61	NA	2.57	4.74	0.15	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Cecropia peltata	2.03	0	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	1.26	NA	NA	NA	1.04	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	NA	1.47	2.88	0.67	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Pouteria sapota	1.18	1.83	NA	NA	NA	NA	NA	NA	NA	2.13	NA	NA	2.48	NA	NA	NA	0.84	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	1.03	1.3	0.99	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Inga punctata	3.35	2.84	NA	NA	NA	NA	NA	NA	NA	1.56	NA	NA	5	NA	NA	NA	2.98	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	3.07	4.66	0.08	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Citrus reticulata	1.97	3.19	NA	NA	NA	NA	NA	NA	NA	1.02	NA	NA	2.36	NA	NA	NA	1.46	3.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	NA	0.84	0.74	0.12	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Cordia alliodora	2.71	1.91	NA	NA	NA	NA	NA	NA	NA	1.65	NA	NA	2.48	NA	NA	NA	1.87	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	0	1.39	3.16	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Albizia saman	1.68	1.23	NA	NA	NA	NA	NA	NA	NA	2.13	NA	NA	2.24	NA	NA	NA	0	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55	NA	1.85	NA	1.08	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Heliocarpus appendiculatus	2.36	0.18	NA	NA	NA	NA	NA	NA	NA	1.27	NA	NA	1.47	NA	NA	NA	2.32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.32	NA	0.9	1.02	0.45	NA
