initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_de	criteria_de	choice_de	BigCriteria_it	criteria_it	choice_it
	information	1	ID	Name		ID		ID	Name	NA	ID	Name	NA	ID	Nome	NA
	information	2	ID	Lateinischer.Name		ID		ID	Latin.name	NA	ID	Lateinischer.Name	NA	ID	Nome latino	NA
	responsetrait	3	use	Kategorie	Biomassenutzung	radioButtons		use	Category	Biomass (19 trees)	ID	Kategorie	Biomassenutzung (19 Bäume)	utilizzo	categoria	Biomassa (19 alberi)
	responsetrait	3	use	Kategorie	Wildobst-Kleinbäume und -sträucher	radioButtons		use	Category	Small wild fruit trees and shrubs (18 trees)	ID	Kategorie	Wildobst-Kleinbäume und -sträucher (18 Bäume)	utilizzo	categoria	Piccoli alberi e arbusti da frutto selvatici (18 alberi)
	responsetrait	3	use	Kategorie	Alley-Cropping	radioButtons		use	Category	Alley cropping (16 trees)	ID	Kategorie	Alley-Cropping (16 Bäume)	utilizzo	categoria	Alley-Cropping (16 alberi)
	responsetrait	3	use	Kategorie	Stock-/Biomassehecke	radioButtons		use	Category	Hedge/biomass hedge (15 trees)	ID	Kategorie	Stock-/Biomassehecke (15 Bäume)	utilizzo	categoria	Siepe di ceppi/biomassa (15 alberi)
	responsetrait	3	use	Kategorie	Vitiforst Umrandung	radioButtons		use	Category	Vitiforst border (13 trees)	ID	Kategorie	Vitiforst Umrandung (13 Bäume)	utilizzo	categoria	Bordo vitiforesta (13 alberi)
	responsetrait	3	use	Kategorie	Vitiforst in der Parzelle	radioButtons		use	Category	Vitiforst in the plot (9 trees)	ID	Kategorie	Vitiforst in der Parzelle (9 Bäume)	utilizzo	categoria	Vitiforesta nell'appezzamento (9 alberi)
	responsetrait	3	use	Kategorie	Vitiforst Zeilenende	radioButtons		use	Category	Vitiforst row end (6 trees)	ID	Kategorie	Nussbäume und -sträucher (8 Bäume)	utilizzo	categoria	Vitiforesta alla fine del filare (6 alberi)
	responsetrait	3	use	Kategorie	Nussbäume und -sträucher	radioButtons		use	Category	Nut trees and shrubs (8 trees)	ID	Kategorie	Obstbäume veredelt (8 Bäume)	utilizzo	categoria	Alberi e arbusti da frutta a guscio (8 alberi)
	responsetrait	3	use	Kategorie	Obstbäume veredelt	radioButtons		use	Category	Grafted fruit trees (8 trees)	ID	Kategorie	Wildobst-Bäume (8 Bäume)	utilizzo	categoria	Alberi da frutto innestati (8 alberi)
	responsetrait	3	use	Kategorie	Wildobst-Bäume	radioButtons		use	Category	Wild fruit trees (8 trees)	ID	Kategorie	Trüffelanbau (7 Bäume)	utilizzo	categoria	Alberi da frutto selvatici (8 alberi)
	responsetrait	3	use	Kategorie	Trüffelanbau	radioButtons		use	Category	Truffle cultivation (7 trees)	ID	Kategorie	Beerensträucher (6 Bäume)	utilizzo	categoria	Coltivazione di tartufi (7 alberi)
	responsetrait	3	use	Kategorie	Beerensträucher	radioButtons		use	Category	Berry bushes (6 trees)	ID	Kategorie	Vitiforst Zeilenende (6 Bäume)	utilizzo	categoria	Arbusti da bacche (6 alberi)
	effecttrait	4	use	Verwendung	Biodiversität / Bodenschutz	checkboxGroupInput		use	Use	Biodiversity / Soil protection	use	Verwendung	Biodiversität / Bodenschutz	utilizzo	Utilizzo	Biodiversity / Soil protection
	effecttrait	4	use	Verwendung	Biomasse / Energie	checkboxGroupInput		use	Use	Biomass / Energy	use	Verwendung	Biomasse / Energie	utilizzo	Utilizzo	Biomass / Energy
	effecttrait	4	use	Verwendung	Holz / Möbel / Instrumente	checkboxGroupInput		use	Use	Wood / Furniture / Instruments	use	Verwendung	Holz / Möbel / Instrumente	utilizzo	Utilizzo	Wood / Furniture / Instruments
	effecttrait	4	use	Verwendung	Früchte / Konfiture / Konserve	checkboxGroupInput		use	Use	Fruit / Jam / Preserves	use	Verwendung	Früchte / Konfiture / Konserve	utilizzo	Utilizzo	Fruit / Jam / Preserves
	effecttrait	4	use	Verwendung	Saft / Likör / öl	checkboxGroupInput		use	Use	Juice / Liqueur / Oil	use	Verwendung	Saft / Likör / öl	utilizzo	Utilizzo	Juice / Liqueur / Oil
	effecttrait	4	use	Verwendung	Medizinalpflanze / Duftstoffe / Imkerei	checkboxGroupInput		use	Use	Medicinal plants / Fragrances / Beekeeping	use	Verwendung	Medizinalpflanze / Duftstoffe / Imkerei	utilizzo	Utilizzo	Medicinal plants / Fragrances / Beekeeping
	effecttrait	4	use	Verwendung	Trüffel	checkboxGroupInput		use	Use	Truffles	use	Verwendung	Trüffel	utilizzo	Utilizzo	Truffles
	responsetrait	5	soil	soil wetness	dry	selectInput		soil	soil wetness	dry	soil	soil wetness	dry	soil	soil wetness	dry
	responsetrait	5	soil	soil wetness	well-drained	selectInput		soil	soil wetness	well-drained	soil	soil wetness	well-drained	soil	soil wetness	well-drained
	responsetrait	5	soil	soil wetness	fresh	selectInput		soil	soil wetness	fresh	soil	soil wetness	fresh	soil	soil wetness	fresh
	responsetrait	5	soil	soil wetness	moist	selectInput		soil	soil wetness	moist	soil	soil wetness	moist	soil	soil wetness	moist
	responsetrait	5	soil	soil wetness	wet	selectInput		soil	soil wetness	wet	soil	soil wetness	wet	soil	soil wetness	wet
	responsetrait	5	soil	waterlogging	waterlogging	checkboxInput		soil	waterlogging	waterlogging	soil	waterlogging	waterlogging	soil	waterlogging	waterlogging
	responsetrait	5	soil	soil structure	light	selectInput		soil	soil structure	light	soil	soil structure	light	soil	soil structure	light
