initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		production	fruit	fruit	checkboxInput		Production	Fruit tree	Fruit tree	Productie	Fruitboom	Fruitboom	Production	Arbre fruitier	Arbre fruitier	Produktion	Obstbaum	Obstbaum	produkt	Ovocná  dřevina	Ovocná  dřevina
	effecttrait		production	forage	forage	checkboxInput		Production	Forage tree	Forage tree	Productie	Voederboom	Voederboom	Production	Arbre fourrager	Arbre fourrager	Produktion	Futterbaum	Futterbaum	produkt	Krmná dřevina	Krmná dřevina
	effecttrait		production	forest	forest	checkboxInput		Production	Forest tree (production)	Forest tree (production)	Productie	Bosboom (productie)	Bosboom (productie)	Production	Arbre forestier (production)	Arbre forestier (production)	Produktion	Forstbaum (Produktion)	Forstbaum (Produktion)	produkt	Lesní dřevina (produkční)	"Lesní dřevina (produkční)"
	effecttrait		production	ornamental	ornamental	checkboxInput		Production	Ornamental function (aesthetic, historical)	Ornamental function (aesthetic, historical)	Productie	Sierfunctie (esthetisch, historisch)	Sierfunctie (esthetisch, historisch)	Production	Fonction ornementale (esthétique, historique)	Fonction ornementale (esthétique, historique)	Produktion	Zierfunktion (ästhetisch, historisch)	Zierfunktion (ästhetisch, historisch)	produkt	Okrasná funkce (estetická, historická)	Okrasná funkce (estetická, historická)
	effecttrait		legislation	approval	approval	checkboxInput		Socio-economic context	Legislation	Requires approval of the PLO according to Act No. 114/1992 Coll	Sociaal-economische context	Legislation	Vereist goedkeuring van het PLO volgens Wet nr. 114/1992 Coll.	Contexte Socio-Economique	Legislation	Nécessite l'approbation de l'OOP conformément à la loi n° 114/1992 Coll.	Sozioökonomischer Kontext	Legislation	Erfordert die Genehmigung der PLO gemäß Gesetz Nr. 114/1992 Slg.	Taxonomické zařazení	Legislation	Vyžaduje souhlas OOP dle zákova č.114/1992 Sb.
	effecttrait		legislation	endengeredG	endengeredG	checkboxInput		Socio-economic context	Legislation	Endangered species according to Grulich, Chobot eds. 2017	Sociaal-economische context	Legislation	Bedreigde soort volgens Grulich, Chobot eds. 2017	Contexte Socio-Economique	Legislation	Espèces menacées selon Grulich, Chobot eds. 2017	Sozio-ökonomischer Kontext	Legislation	Gefährdete Art nach Grulich, Chobot eds. 2017	Taxonomické zařazení	Legislation	Ohrožené druhy dle Grulich, Chobot eds. 2017
	effecttrait		legislation	endengeredU	endengeredU	checkboxInput		Socio-economic context	Legislation	Endangered species according to Úradníček et al. 2017	Sociaaleconomische context	Legislation	Bedreigde soorten volgens Úradníček et al. 2017	Contexte Socio-Economique	Legislation	Espèces menacées selon Úradníček et al. 2017	Sozio-ökonomischer Kontext	Legislation	Gefährdete Arten nach Úradníček et al. 2017	Taxonomické zařazení	Legislation	Ohrožené druhy dle Úradníček a kol. 2017
	effecttrait		legislation	endengeredY	endengeredY	checkboxInput		Socio-economic context	Legislation	Endangered species according to Act No. 114/92 Coll	Sociaal-economische context	Legislation	Bedreigde soorten volgens Wet nr. 114/92 Sb.	Contexte Socio-Economique	Legislation	Espèces menacées d'extinction selon la loi n° 114/92 Coll.	Sozio-ökonomischer Kontext	Legislation	Gefährdete Arten nach Gesetz Nr. 114/92 Slg.	Taxonomické zařazení	Legislation	Ohrožené druhy dle Zák.114/92Sb. Vyhl. 395/92 Sb.
	effecttrait		growth	height	0	sliderInput		Growth	Height (max in m)	0	Groei	Hoogte (max in m)	0	Croissance	HAUTEUR (max en m)	0	Wachstum	Höhe (max. in m)	0	Růstové charakteristiky	VÝŠKA (max v m)	0
	effecttrait		growth	height	40	sliderInput		Growth	Height (max in m)	40	Groei	Lengte (max in m)	40	Croissance	HAUTEUR (max en m)	40	Wachstum	Höhe (max. in m)	40	Růstové charakteristiky	VÝŠKA (max v m)	40
	effecttrait		understory_tree	understory_tree	understory	checkboxInput		Understory tree	Understory tree	Understory tree	Ondergroei boom	Ondergroei boom	Ondergroei boom	Arbre de sous-étage	Arbre de sous-étage	Arbre de sous-étage	Unterstory-Baum	Unterstory-Baum	Unterstory-Baum	Podrostová dřevina	Podrostová dřevina	Podrostová dřevina
	effecttrait		growth	habitus	bush	selectInput		Growth	habitus (in AFS)	bush to shrub	Groei	habitus (in AFS)	struik tot struik	Croissance	Croissance, habitus (en ALS)	Arbuste à jeune arbre	Wachstum	Habitus (in AFS)	Strauch zu Strauch	Růstové charakteristiky	Vzrůst, habitus (v ALS)	keř až stromek
