initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_blau	selectInput		Fruit color or shape	Fruit color or shape	blue	Couleur ou forme des fruits	Couleur ou forme des fruits	bleu	Fruit color or shape	Fruit color or shape	blu	Fruit color or shape	Fruit color or shape	blauw	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	blau	Fruit color or shape	Fruit color or shape	azul	Fruit color or shape	Fruit color or shape	modrá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_blauschwarz	selectInput		Fruit color or shape	Fruit color or shape	blue-black	Couleur ou forme des fruits	Couleur ou forme des fruits	bleu-noir	Fruit color or shape	Fruit color or shape	blu-nero	Fruit color or shape	Fruit color or shape	blauwzwart	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	blauschwarz	Fruit color or shape	Fruit color or shape	azul-negro	Fruit color or shape	Fruit color or shape	modročerné
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_braun	selectInput		Fruit color or shape	Fruit color or shape	brown	Couleur ou forme des fruits	Couleur ou forme des fruits	marron	Fruit color or shape	Fruit color or shape	marrone	Fruit color or shape	Fruit color or shape	bruin	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	braun	Fruit color or shape	Fruit color or shape	marrón	Fruit color or shape	Fruit color or shape	hnědá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_dunkelrot	selectInput		Fruit color or shape	Fruit color or shape	dark red	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge foncé	Fruit color or shape	Fruit color or shape	rosso scuro	Fruit color or shape	Fruit color or shape	donkerrood	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	dunkelrot	Fruit color or shape	Fruit color or shape	rojo oscuro	Fruit color or shape	Fruit color or shape	tmavě červená
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_eichelförmig	selectInput		Fruit color or shape	Fruit color or shape	acorn-shaped	Couleur ou forme des fruits	Couleur ou forme des fruits	en forme de gland	Fruit color or shape	Fruit color or shape	a forma di ghianda	Fruit color or shape	Fruit color or shape	eikelvormig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	eichelförmig	Fruit color or shape	Fruit color or shape	en forma de bellota	Fruit color or shape	Fruit color or shape	ve tvaru žaludu
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_flügelartig	selectInput		Fruit color or shape	Fruit color or shape	wing-like	Couleur ou forme des fruits	Couleur ou forme des fruits	en forme d'aile	Fruit color or shape	Fruit color or shape	alare	Fruit color or shape	Fruit color or shape	vleugelachtig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	flügelartig	Fruit color or shape	Fruit color or shape	con alas	Fruit color or shape	Fruit color or shape	křídlaté
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_gelb	selectInput		Fruit color or shape	Fruit color or shape	yellow	Couleur ou forme des fruits	Couleur ou forme des fruits	jaune	Fruit color or shape	Fruit color or shape	giallo	Fruit color or shape	Fruit color or shape	geel	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	gelb	Fruit color or shape	Fruit color or shape	amarillo	Fruit color or shape	Fruit color or shape	žlutá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_gelbbraun	selectInput		Fruit color or shape	Fruit color or shape	yellow-brown	Couleur ou forme des fruits	Couleur ou forme des fruits	jaune-brun	Fruit color or shape	Fruit color or shape	giallo-marrone	Fruit color or shape	Fruit color or shape	geelbruin	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	gelbbraun	Fruit color or shape	Fruit color or shape	amarillo-marrón	Fruit color or shape	Fruit color or shape	žlutohnědý
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_graugrün	selectInput		Fruit color or shape	Fruit color or shape	gray-green	Couleur ou forme des fruits	Couleur ou forme des fruits	gris-vert	Fruit color or shape	Fruit color or shape	grigio-verde	Fruit color or shape	Fruit color or shape	grijsgroen	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	graugrün	Fruit color or shape	Fruit color or shape	gris-verde	Fruit color or shape	Fruit color or shape	šedozelená
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_kugelig	selectInput		Fruit color or shape	Fruit color or shape	spherical	Couleur ou forme des fruits	Couleur ou forme des fruits	sphérique	Fruit color or shape	Fruit color or shape	sferico	Fruit color or shape	Fruit color or shape	bolvormig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	kugelig	Fruit color or shape	Fruit color or shape	esférico	Fruit color or shape	Fruit color or shape	kulovitá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_nussartig	selectInput		Fruit color or shape	Fruit color or shape	nutty	Couleur ou forme des fruits	Couleur ou forme des fruits	noisette	Fruit color or shape	Fruit color or shape	a forma di noce	Fruit color or shape	Fruit color or shape	nootachtig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	nussartig	Fruit color or shape	Fruit color or shape	en forma de nuez	Fruit color or shape	Fruit color or shape	ořechovitý
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_orange	selectInput		Fruit color or shape	Fruit color or shape	orange	Couleur ou forme des fruits	Couleur ou forme des fruits	orange	Fruit color or shape	Fruit color or shape	arancione	Fruit color or shape	Fruit color or shape	oranje	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	orange	Fruit color or shape	Fruit color or shape	naranja	Fruit color or shape	Fruit color or shape	oranžová
