initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
40	effecttrait	1	animals	animals	fruits.edible.by.domestic.animals	checkboxGroupInput	NA	Animals	animals	Animal-edible fruits	Dieren	dieren	Dierlijk eetbaar fruit	Animaux	animaux	Fruits comestibles pour les animaux (pas tous)	Tiere	Tiere	Tierisch genießbare Früchte	Zvířata	zvířata	Plody jedlé pro zvířata
41	effecttrait	1	animals	animals	Horses	checkboxGroupInput	NA	Animals	animals	Horses	Dieren	dieren	Paarden	Animaux	animaux	Chevaux	Tiere	Tiere	Pferde	Zvířata	zvířata	Koně
42	effecttrait	1	animals	animals	Sheep	checkboxGroupInput	NA	Animals	animals	Sheep	Dieren	dieren	Schapen	Animaux	animaux	Ovins	Tiere	Tiere	Schafe	Zvířata	zvířata	Ovce
43	effecttrait	1	animals	animals	Cattle	checkboxGroupInput	NA	Animals	animals	Cattle	Dieren	dieren	Runderen	Animaux	animaux	Bovins	Tiere	Tiere	Rinder	Zvířata	zvířata	Skot
49	effecttrait	2	biomass	growthspeed	Growth.speed	checkboxInput	NA	Biomass	growthspeed	Growth speed	Biomassa	groeisnelheid	Groeisnelheid	Biomasse	Vitesse de croissance	Vitesse de croissance	Biomasse	Wachstumsgeschwindigkeit	Wachstumsgeschwindigkeit	Biomasa	rychlost růstu	Rychlost růstu
51	effecttrait	2	biomass	coppiceable	Fast.biomass.production.and/or.usable.for.coppice	checkboxInput	NA	Biomass	coppiceable	SRC-able	Biomassa	hakhout	hakhout met korte omlooptijd	Biomasse	Utilisable en TCR	Utilisable en TCR	Biomasse	pflanzbar	Niederwald mit Kurzumtrieb	Biomasa	kopírovatelné	hakhout met korte omlooptijd
50	effecttrait	2	timber	timberquality	Potential.for.high.quality.wood	checkboxInput	NA	Timber	timberquality	Wood quality	Hout	houtkwaliteit	Houtkwaliteit	Bois d'œuvre	Qualité du bois	Qualité du bois	Holz	Holzqualität	Holzqualität	Dřevo	kvalita dřeva	Kvalita dřeva
52	effecttrait	3	fruits	ediblefruitnuts	Edibility.of.nuts.and.fruits	checkboxInput	NA	Fruits and nuts	ediblefruitnuts	Edibility of Fruits	Fruit en noten	eetbare vruchten noten	Eetbaarheid van vruchten	Fruits et noix	Fruits/noix comestibles	Fruits/noix comestibles	Früchte und Nüsse	essbare FrüchteNüsse	Genießbarkeit von Früchten	Ovoce a ořechy	jedléovoce	Jedlost plodů
53	effecttrait	3	fruits	fruittiming	Very.short-term.(1-3.yr)	selectInput	NA	Fruits and nuts	fruittiming	Very.short-term.(1-3.yr)	Fruit en noten	vruchtdracht	Zeer.korte-term.(1-3.jr)	Fruits et noix	Mise à fruit	Mise à fruit rapide	Früchte und Nüsse	Fruchtzeit	Sehr.kurzfristig.(1-3.Jh.)	Ovoce a ořechy	časování plodů	Velmi.krátkodobé (1-3 roky)
54	effecttrait	3	fruits	fruittiming	Short-term.(3-8.yr)	selectInput	NA	Fruits and nuts	fruittiming	Short-term.(3-8.yr)	Fruit en noten	vruchtdracht	Korte termijn.(3-8.jr)	Fruits et noix	Mise à fruit	Mise à fruit intermédiaire	Früchte und Nüsse	fruchttragend	Kurzfristig.(3-8.J.)	Ovoce a ořechy	plodnost	Krátkodobé (3-8 let)
55	effecttrait	3	fruits	fruittiming	Long-term.(>8.yr)	selectInput	NA	Fruits and nuts	fruittiming	Long-term.(>8.yr)	Fruit en noten	vruchtdracht	Lange termijn (>8.jr)	Fruits et noix	Mise à fruit	Mise à fruit tardive	Früchte und Nüsse	fruchttragend	Langfristig.(>8.J.)	Ovoce a ořechy	fruittiming	Dlouhodobé (>8 let)
46	effecttrait	4	biodiversity	native	Native.or.archaeophyte	selectInput	NA	Biodiversity	native	Native.or.archaeophyte	Biodiversiteit	inheems	Inheems.of.archeofyt	Biodiversité	statut de conservation	Local	Artenvielfalt	einheimisch	Einheimisch.oder.Archäophyt	Biodiverzita	původní	Původní.nebo.archeofyt
47	effecttrait	4	biodiversity	native	Exotic.but.well.established.or.non-invasive	selectInput	NA	Biodiversity	native	Exotic.but.well.established.or.non-invasive	Biodiversiteit	inheems	Exotisch.maar.goed.ingeburgerd.of.niet-invasief	Biodiversité	statut de conservation	Acclimaté	Artenvielfalt	einheimisch	Exotisch,.aber.gut.etabliert.oder.nichtinvasiv	Biodiverzita	nativní	Exotický,.ale.dobře.zavedený.nebo.neinvazní
48	effecttrait	4	biodiversity	native	Risk.of.invasiveness	selectInput	NA	Biodiversity	native	Risk.of.invasiveness	Biodiversiteit	inheems	Risico.op.invasiviteit	Biodiversité	statut de conservation	Invasif	Artenvielfalt	einheimisch	Risiko.der.Invasivität	Biodiverzita	nativní	Riziko.invazivity
56	effecttrait	4	biodiversity	polinators	Attractive.to.pollinators	checkboxInput	NA	Biodiversity	polinators	Attractive.to.pollinators	Biodiversiteit	bestuivers	Aantrekkelijk.voor.bestuivers	Biodiversité	Attire les pollinisateurs	Attire les pollinisateurs	Artenvielfalt	Polinatoren	Attraktiv.für.Bestäuber	Biodiverzita	polinators	Atraktivní.pro.opylovače
57	effecttrait	4	biodiversity	birds	Birds	checkboxInput	NA	Biodiversity	birds	Birds	Biodiversiteit	vogels	Vogels	Biodiversité	Favorable aux oiseaux	Favorable aux oiseaux	Artenvielfalt	Vögel	Vögel	Biodiverzita	ptáci	Ptáci
58	effecttrait	5	windbreak	windbreak	Windbreak	checkboxInput	NA	Windbreak	windbreak	Windbreak	Windscherm	windscherm	windscherm	Brise-vent	Brise-vent	Brise-vent	Windschutz	Windschutz	Windschutz	Větrný štít	větrolam	Větrný štít
20	effecttrait	6	shade	crownwidth	<3m	selectInput	NA	Shade	crownwidth	<3m	Schaduw	kroonbreedte	<3m	Ombre	Largeur de houppier	Largeur de houppier <3m	Schatten	Kronenbreite	<3m	Stín	šířka koruny	<3m
21	effecttrait	6	shade	crownwidth	3.to.5m	selectInput	NA	Shade	crownwidth	3.to.5m	Schaduw	kroonbreedte	3.tot.5m	Ombre	Largeur de houppier	Largeur de houppier 3.to.5m	Schatten	Scheitelbreite	3.bis.5m	Stín	šířka koruny	3.až 5m
22	effecttrait	6	shade	crownwidth	5.to.10m	selectInput	NA	Shade	crownwidth	5.to.10m	Schaduw	kroonbreedte	5.tot.10m	Ombre	Largeur de houppier	Largeur de houppier 5.to.10m	Schatten	Scheitelbreite	5.bis.10m	Stín	crownwidth	5.až 10m
23	effecttrait	6	shade	crownwidth	>10m	selectInput	NA	Shade	crownwidth	>10m	Schaduw	kroonbreedte	>10m	Ombre	Largeur de houppier	Largeur de houppier >10m	Schatten	Scheitelbreite	>10m	Stín	šířka koruny	>10m
24	effecttrait	6	shade	crowndensity	Dense.(lots.of.shade)	selectInput	NA	Shade	crowndensity	Dense.(lots.of.shade)	Schaduw	kroondichtheid	Dicht.(veel.schaduw)	Ombre	Feuillage	Feuillage dense	Farbton	Kronendichte	Dicht.(viel.Schatten)	Stín	hustota koruny	Hustý (hodně stínu)
25	effecttrait	6	shade	crowndensity	Half.open	selectInput	NA	Shade	crowndensity	Half.open	Schaduw	kroondichtheid	Half.open	Ombre	Feuillage	Feuillage intermédiaire	Farbton	Kronendichte	Halb.offen	Stín	crowndensity	Napůl otevřené
26	effecttrait	6	shade	crowndensity	Open.(translucent)	selectInput	NA	Shade	crowndensity	Open.(translucent)	Schaduw	kroondichtheid	Open (doorschijnend)	Ombre	Feuillage	Feuillage léger	Farbton	Kronendichte	Offen.(durchscheinend)	Stín	crowndensity	Otevřená (průsvitná)
30	effecttrait	6	shade	earlybuddingtime	Early.or.late.budding	checkboxInput	NA	Shade	earlybuddingtime	Early.or.late.budding	Schaduw	moment.van.uitlopen	Vroege.of.late.knopzetting	Ombre	Débourrement précoce	Débourrement précoce	Schatten	frühe Knospenzeit	Früher.oder.später.Austrieb	Stín	earlybuddingtime	Časné.nebo.pozdní.rašení
14	effecttrait	7	fertility	Nfixation	N-fixator	checkboxInput	NA	Soil fertility	Nfixation	N-fixator	Bodemvruchtbaarheid	N-fixatie	N-fixeerder	Fertilité	Fixateur d'azote	Fixateur d'azote	Bodenfruchtbarkeit	NFixierung	N-Fixierer	Úrodnost půdy	Nfixace	N-fixátor
15	effecttrait	7	fertility	SoilFertility	Promoting.soil.fertility	checkboxInput	NA	Soil fertility	SoilFertility	Promoting.soil.fertility	Bodemvruchtbaarheid	Bodemvruchtbaarheid	Bevordert.bodemvruchtbaarheid	Fertilité	Améliore la fertilité	Améliore la fertilité	Fruchtbarkeit des Bodens	BodenFertilität	Fördert.die.Bodenfruchtbarkeit	Úrodnost půdy	Půdní úrodnost	Podporuje.úrodnost.půdy
12	NA	NA	NA	NA	'Shallow''.rooting	information	NA	NA	Rooting pattern	'Shallow''.rooting	NA	Bewortelingspatroon	Ondiepe.beworteling	NA	système racinaire traçant	système racinaire traçant	NA	Bewurzelungsmuster	Flache''.Bewurzelung	NA	Vzor zakořenění	'mělké''.zakořenění
13	NA	NA	NA	NA	'Deep''.rooting	information	NA	NA	Rooting pattern	'Deep''.rooting	NA	Wortelpatroon	Diepe.beworteling	NA	système racinaire pivot	système racinaire pivot	NA	Bewurzelungsmuster	Tiefwurzelnd	NA	Způsob zakořenění	Hluboké''.zakořenění
17	NA	NA	NA	NA	Columnar,.V-shaped,.Pyramidal,.or.Oval.crown	information	NA	NA	Crown shape	Columnar,.V-shaped,.Pyramidal,.or.Oval.crown	NA	Kroonvorm	Zuilvormige, V-vormige, kegelvormige of ovale.kroon	Forme du houppier	Cylindrique, pyramidale ou ovale	Cylindrique, pyramidale ou ovale	NA	Kronenform	Säulenförmige,.V-förmige,.pyramidenförmige,.oder.ovale.Krone	NA	Tvar koruny	Sloupovitá, V-úhelníková, pyramidální nebo oválná koruna
18	NA	NA	NA	NA	Round.crown	information	NA	NA	Crown shape	Round.crown	NA	Kroonvorm	Ronde.kroon	Forme du houppier	Ronde	Ronde	NA	Kronenform	Runde.Krone	NA	Tvar koruny	Kulatá koruna
19	NA	NA	NA	NA	Vase.crown	information	NA	NA	Crown shape	Vase.crown	NA	Kroonvorm	Vaasvormige.kroon	Forme du houppier	En forme de vase	En forme de vase	NA	Kronenform	Vasenförmige.Krone	NA	Tvar koruny	Vázovitá koruna
44	NA	NA	NA	NA	Poisonous.plant.parts	warning	NA	NA	Poisonous.plant.parts	Poisonous.plant.parts	NA	Giftige.plantendelen	Giftige.plantendelen	NA	attention, organes toxiques	attention, organes toxiques	NA	Giftige.Pflanzen.teile	Giftige.Pflanzenteile	NA	Jedovaté.části rostliny	Jedovaté.části.rostliny
60	NA	NA	NA	NA	Availability.planting.material	warning	NA	NA	Availability.planting.material	Availability.planting.material	NA	Beschikbaarheid.plantgoed	Beschikbaarheid.plantgoed	NA	disponibilité du matériel végétal	disponibilité du matériel végétal	NA	Verfügbarkeit.von.Pflanzgut	Verfügbarkeit.von.Pflanzmaterial	NA	Dostupnost sadebního materiálu	Dostupnost.sadebního.materiálu
61	NA	NA	NA	NA	Notes.and.special.cases	warning	NA	NA	Notes.and.special.cases	Notes.and.special.cases	NA	Opmerkingen.en.speciale.gevallen	Opmerkingen.en.speciale.gevallen	NA	Autres infos	Autres infos	NA	Anmerkungen.und.besondere.Fälle	Anmerkungen.und.besondere.Fälle	NA	Poznámky.a.zvláštní.případy	Poznámky.a.zvláštní.případy
1	responsetrait	1	soil	texture	(Heavy).clay	selectInput	NA	Soil	Texture	Clay	Bodem	Bodemtextuur	Klei	Sol	Texture	Argileux	Boden	Beschaffenheit	Lehm	Půda	Textura	Hlína
2	responsetrait	1	soil	texture	Loam	selectInput	NA	Soil	Texture	Loam	Bodem	Bodemtextuur	Leem	Sol	Texture	Limoneux	Boden	Beschaffenheit	Lehm	Půda	Textura	Hlína
