initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_nl	BigCriteria_en	BigCriteria_fr	BigCriteria_de	BigCriteria_cz	criteria_nl	criteria_en	criteria_fr	criteria_de	criteria_cz	choice_nl	choice_en	choice_fr	choice_de	choice_cz
	identifiers												Soort	Type of	Type de	Art der	Typ					
	identifiers												Botanisch	Botanical	botanique	Botanisch	Botanické					
	identifiers												Onderstam	Rootstock	Porte-greffe	Wurzelstock	Podnož					
	effecttrait		GeneralUse	Objective	Voedselproductie - veel toegepaste soorten	radioButtons		Algemeen gebruik	General use	Utilisation générale	Allgemeiner Gebrauch	Obecné použití	doelstelling	Objective	Objectif	Zielsetzung	objektivní	Voedselproductie - veel toegepaste soorten	Food production - commonly used species	Production alimentaire - espèces couramment utilisées	Lebensmittelproduktion - häufig verwendete Arten	Produkce potravin - běžně používané druhy
	effecttrait		GeneralUse	Objective	Voedselproductie - bijzondere soorten	radioButtons		Algemeen gebruik	General use	Utilisation générale	Allgemeiner Gebrauch	Obecné použití	doelstelling	Objective	Objectif	Zielsetzung	objektivní	Voedselproductie - bijzondere soorten	Food production - special species	Production alimentaire - espèces spéciales	Nahrungsmittelproduktion - spezielle Arten	Produkce potravin - speciální druhy
	effecttrait		GeneralUse	Objective	Systeem-ondersteunende soorten	radioButtons		Algemeen gebruik	General use	Utilisation générale	Allgemeiner Gebrauch	Obecné použití	doelstelling	Objective	Objectif	Zielsetzung	objektivní	Systeem-ondersteunende soorten	System-supporting species	Espèces de soutien du système	Systemunterstützende Arten	Druhy podporující systém
	effecttrait		GeneralUse	Objective	Houtproductie	radioButtons		Algemeen gebruik	General use	Utilisation générale	Allgemeiner Gebrauch	Obecné použití	doelstelling	Objective	Objectif	Zielsetzung	objektivní	Houtproductie	Wood production	Production de bois	Holzproduktion	Produkce dřeva
	effecttrait		GeneralUse	Objective	voederhaag	radioButtons		Algemeen gebruik	General use	Utilisation générale	Allgemeiner Gebrauch	Obecné použití	doelstelling	Objective	Objectif	Zielsetzung	objektivní	voederhaag	fodder hedge	haie fourragère	Futterhecke	živé ploty na krmení
	responsetrait		SoilConditions	SoilConditions	zand	selectInput		BodemVoorwaarden	SoilConditions	Conditions du sol	BodenBedingungen	Půdní podmínky	BodemVoorwaarden	Soil type	Type de soil	BodenBedingungen	Půdní podmínky	zand	sand	sable	Sand	písek
	responsetrait		SoilConditions	SoilConditions	zavel / leem	selectInput		BodemVoorwaarden	SoilConditions	Conditions du sol	BodenBedingungen	Půdní podmínky	BodemVoorwaarden	Soil type	Type de soil	BodenBedingungen	Půdní podmínky	zavel / leem	Loam	limon	Lehm	hlína
	responsetrait		SoilConditions	SoilConditions	lichte klei	selectInput		BodemVoorwaarden	SoilConditions	Conditions du sol	BodenBedingungen	Půdní podmínky	BodemVoorwaarden	Soil type	Type de soil	BodenBedingungen	Půdní podmínky	lichte klei	light clay	argile légère	leichter Lehm	lehký jíl
	responsetrait		SoilConditions	SoilConditions	zware klei	selectInput		BodemVoorwaarden	SoilConditions	Conditions du sol	BodenBedingungen	Půdní podmínky	BodemVoorwaarden	Soil type	Type de soil	BodenBedingungen	Půdní podmínky	zware klei	heavy clay	argile lourde	schwerer Lehm	těžký jíl
	responsetrait		SoilConditions	SoilConditions	veen	selectInput		BodemVoorwaarden	SoilConditions	Conditions du sol	BodenBedingungen	Půdní podmínky	BodemVoorwaarden	Soil type	Type de soil	BodenBedingungen	Půdní podmínky	veen	peat	tourbe	Torf	rašelina
	responsetrait		WaterConditions	WaterConditions	hoogstabiel	selectInput		WaterVoorwaarden	WaterConditions	Conditions de l'eau	WasserBedingungen	WaterConditions	WaterVoorwaarden	Depth of water table	Profondeur de la nappe	WasserBedingungen	WaterConditions	hoog stabiel	high stable	élevée stable	hoch stabil	vysoký stabilní
	responsetrait		WaterConditions	WaterConditions	hoogfluctuerend	selectInput		WaterVoorwaarden	WaterConditions	Conditions de l'eau	WasserBedingungen	WaterConditions	WaterVoorwaarden	Depth of water table	Profondeur de la nappe	WasserBedingungen	WaterConditions	hoog fluctuerend	high fluctuating	élevée fluctuante	hoch schwankend	vysoká kolísavá
	responsetrait		WaterConditions	WaterConditions	middelmatigstabiel	selectInput		WaterVoorwaarden	WaterConditions	Conditions de l'eau	WasserBedingungen	WaterConditions	WaterVoorwaarden	Depth of water table	Profondeur de la nappe	WasserBedingungen	WaterConditions	middelmatig stabiel	medium stable	moyenne stable	mittel stabil	střední stabilní
	responsetrait		WaterConditions	WaterConditions	middelmatigfluctuerend	selectInput		WaterVoorwaarden	WaterConditions	Conditions de l'eau	WasserBedingungen	WaterConditions	WaterVoorwaarden	Depth of water table	Profondeur de la nappe	WasserBedingungen	WaterConditions	middelmatig fluctuerend	medium fluctuating	moyenne fluctuante	mittel schwankend	střední kolísavá
	responsetrait		WaterConditions	WaterConditions	laag	selectInput		WaterVoorwaarden	WaterConditions	Conditions de l'eau	WasserBedingungen	WaterConditions	WaterVoorwaarden	Depth of water table	Profondeur de la nappe	WasserBedingungen	WaterConditions	laag	low	basse	niedrig	nízká
	effecttrait		UsedOrgan	Toepassingen	blad	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	blad	leaf	feuille	Blatt	list
	effecttrait		UsedOrgan	Toepassingen	stengels	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	stengels	stems	tiges	Stängel	stonky
	effecttrait		UsedOrgan	Toepassingen	fruit	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	fruit	fruit	fruits	Obst	plody
	effecttrait		UsedOrgan	Toepassingen	laagwaardig hout	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	laagwaardig hout	low-grade wood	bois de qualité inférieure	minderwertiges Holz	nekvalitní dřevo
