side	order	BigCriteria	criteria	choice	objecttype	weightofcriteria	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
responsetrait	1	climate	temperature	temperature	numericInput	NA	NA	Climate	Temperature	Temperature	Klimaat	Temperatuur	Temperatuur	Climat	Température	Température	Klima	Temperatur	Temperatur	Klima	Teplota	Teplota
responsetrait	2	climate	precipitation	precipitation	numericInput	NA	NA	Climate	Precipitation	Precipitation	Klimaat	Neerslag	Neerslag	Climat	Précipitations	Précipitations	Klima	Niederschlag	Niederschlag	Podnebí	Srážky	Srážky
effecttrait	1	Production	utilities	anyutility	checkboxGroupInput	NA	NA	Nutrition	Utilities	Any utility	Voeding	Nut	Ieder product of dienst	Alimentation	Utilisation	Toute utilisation	Ernährung	Versorgungsunternehmen	Jeder Nutzen	Výživa	Komunální služby	Jakýkoli užitek
effecttrait	1	Production	utilities	food	checkboxGroupInput	NA	NA	Nutrition	Utilities	Food	Voeding	Nut	Voedsel	Alimentation	Utilisation	Nourriture	Ernährung	Dienstprogramme	Lebensmittel	Výživa	Komunální služby	Potraviny
effecttrait	1	Production	utilities	spice	checkboxGroupInput	NA	NA	Nutrition	Utilities	Spice	Voeding	Nut	Kruiden	Alimentation	Utilisation	Épices	Ernährung	Dienstprogramme	Gewürze	Výživa	Komunální služby	Koření
effecttrait	1	Production	utilities	timber	checkboxGroupInput	NA	NA	Timber	Utilities	Timber	Hout	Nut	Hout	Bois	Utilisation	Bois de construction	Holz	Dienstprogramme	Holz	Dřevo	Nástroje	Dřevo
effecttrait	1	Production	utilities	fodder	checkboxGroupInput	NA	NA	Feed or fodder	Utilities	Feed or fodder	Voeder	Nut	Voeder	Aliments pour animaux ou fourrage	Utilisation	Aliments pour animaux ou fourrage	Futtermittel oder Futtermittel	Versorgungsunternehmen	Futter oder Futtermittel	Krmivo nebo píce	Nástroje	Krmivo nebo píce
effecttrait	1	Production	utilities	biomass	checkboxGroupInput	NA	NA	Energy	Utilities	Biomass	Energie	Nut	Biomassa	Energie	Utilisation	Biomasse	Energie	Dienstprogramme	Biomasse	Energie	Nástroje	Biomasa
effecttrait	1	Production	utilities	shade	checkboxGroupInput	NA	NA	Climate regulation	Utilities	Shade	Klimaatregeling	Nut	Schaduw	Régulation du climat	Utilisation	Ombrage	Klimaregulierung	Dienstprogramme	Schatten	Regulace klimatu	Nástroje	Stín
effecttrait	1	Production	utilities	nitrogen	checkboxGroupInput	NA	NA	Soil Fertility	Utilities	Nitrogen	Bodemvruchtbaarheid	Nut	Stikstof	Fertilité des sols	Utilisation	Azote	Fruchtbarkeit des Bodens	Dienstprogramme	Stickstoff	Úrodnost půdy	Nástroje	Dusík
